tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt1663696,Torture Chamber,2013,['Horror'],"['nm0665114', 'nm0589798', 'nm2194827', 'nm2716554', 'nm2827115']",90,2.8,English,,630,,,Members of a religious community try to save the soul of a possessed boy and his child cohorts after he escapes from an asylum and starts murdering anyone who gets in his way.
tt0024704,Turn Back the Clock,1933,"['Comedy', 'Drama', 'Fantasy']","['nm0870543', 'nm0472603', 'nm0053616', 'nm0330059', 'nm0010958']",79,6.7,English,United States,629,,,"Joe and Mary barely get by with their tobacco store. After an old friend returns now married to wealthy Elvina, Joe wishes he married her instead when he had the chance. Will he be happy when his wish comes true?"
tt0348226,Tomie: Forbidden Fruit,2002,['Horror'],"['nm0475165', 'nm0475165', 'nm0913880', 'nm0756863', 'nm0879485']",91,5.7,Japanese,Japan,629,,,"Tomie terrorizes an artistically inclined young girl and her widowed father, slowly integrating herself into the family."
tt0076885,Trauma,1978,"['Horror', 'Thriller']","['nm0339654', 'nm0580853', 'nm0562210', 'nm0729454', 'nm0305716']",87,5.4,English,United Kingdom,625,,0.03,"A writer arrives to an isolated boardinghouse run by a beautiful but strange woman. Shortly after his arrival, guests start to get violently killed."
tt33477586,Traffic,2024,['Drama'],"['nm5514335', 'nm6152765', 'nm1717196', 'nm18036366', 'nm1796035']",119,7.0,Romanian English Dutch,Romania Belgium Netherlands,623,,,"Natalia and Ginel leave their small Romanian Danube village to work abroad in a big Flemish city. One evening, when she is assaulted after meeting a local, Natalia asks Ita, a friend from home turned into a crook, to help her."
tt5490310,Tuintje in mijn hart,2017,"['Adventure', 'Comedy', 'Romance']","['nm1278335', 'nm5580606', 'nm0508721', 'nm1796156', 'nm1553638']",101,5.3,,,621,,,"When a mother reunites her family in Suriname for Christmas, two brothers - one living in Holland, one still in Suriname - have a hard time to get along with each other after a rumor spreads gold was found in their father's land."
tt7404868,Tokyo Vampire Hotel,2017,"['Fantasy', 'Horror']","['nm1564899', 'nm7106586', 'nm13397629', 'nm10636890']",142,5.9,,,621,,,"Manami is captured by blood thirsty trigger happy vampires, and taken to their hotel, where they keep prisoners as future meals. They are all instructed to find a partner to survive, when a vampire clan from Transylvania interferes."
tt3530896,ToY,2016,"['Drama', 'Romance']","['nm0446298', 'nm0641610', 'nm0022374', 'nm1497570', 'nm1677454']",93,5.3,English,United States,619,,,"Young L.A. artist, Chloe, hires prostitutes to pose nude and talk openly about their lives while she films them for her new art project. She falls for one of them, the elegant 40-something Kat. The two begin a tragic passionate af..."
tt4927984,Tomato Red: Blood Money,2017,"['Drama', 'Thriller']","['nm1621032', 'nm3682083', 'nm0076702', 'nm6915434', 'nm3303850']",112,5.7,English,Ireland Canada,617,,,"A small time drifter Sammy Barlach (Jake Weary, ""Animal Kingdom"") searches for his next mark, but comes upon Jamalee (Julia Garner, ""Ozark"") and her brother who challenge him in unexpected ways."
tt0348258,Tujhe Meri Kasam,2003,['Romance'],"['nm1299011', 'nm1777918', 'nm0007106', 'nm0787474', 'nm0080377']",155,6.2,Hindi,India,615,0.0,0.0,Rishi and Anju are childhood buddies struggle to find out if they have more than friendship between them.
tt0425548,Touched,2005,"['Drama', 'Romance']","['nm0000871', 'nm0001117', 'nm0027402', 'nm0462735', 'nm1731986']",90,5.9,,,613,,,A romantic drama about a man who awakes from a coma without his sense of touch and the nurse who comes to his aid.
tt0139649,Too Tired to Die,1998,"['Comedy', 'Drama', 'Fantasy']","['nm0542492', 'nm0756083', 'nm0436385', 'nm0437580', 'nm0942482']",97,5.4,English Japanese Mandarin Arabic French Cantonese German,United States South Korea,611,,,"Keith is a Japanese twenty-something who is followed by Death in various disguises. When he finally faces her, Death tells him that he has only 12 hours to live and he needs to make the most of it."
tt0086484,Tuareg: The Desert Warrior,1984,"['Action', 'Adventure']","['nm0001319', 'nm0695978', 'nm0539081', 'nm0759757', 'nm0320942']",97,5.5,,"Spain, Italy",610,,,"In a desolate section of the Sahara once ruled by the French, two thirsty men stumble into the camp of a Tuareg warrior where they're given water and shelter. Soldiers from the new Arab government now arrive by Jeep and demand the..."
tt0343107,Tom Dowd & the Language of Music,2003,"['Documentary', 'Music']",,90,8.2,,United States,610,,,"A documentary about Tom Dowd, who was an innovative recording engineer and producer of noted albums with John Coltrane, Ornette Coleman, Otis Redding, Eric Clapton, the Allman Brothers and many others."
tt0103100,Too Much Sun,1990,['Comedy'],"['nm0000375', 'nm0003318', 'nm0371579', 'nm0001385', 'nm0001494']",97,4.2,English,United States,607,2.25,,A multimillionaire whose son and daughter are gay leaves a will with one clause: His children will inherit his money only if at least one of them produces his grandchild within a year of his death.
